CWE-Desc;First Seen;Last Seen;CWE-NVD;FirstSeen;LastSeen
CWE-1;2017;2017;CWE-1;2017;2017
CWE-1021;2018;2018;CWE-1021;2018;2018
CWE-113;2015;2019;CWE-113;2015;2019
CWE-114,CWE-119;2007;2012;CWE-116;2017;2018
CWE-114,CWE-20;2007;2007;CWE-118;2017;2018
CWE-114,NVD-CWE-noinfo;2007;2007;CWE-1188;2018;2019
CWE-116;2010;2018;CWE-1188,CWE-78;2018;2018
CWE-117;2016;2016;CWE-119;1997;2019
CWE-118;2017;2018;CWE-119,CWE-125;2018;2018
CWE-1188;2018;2019;CWE-119,CWE-129;2018;2018
CWE-1188,CWE-78;2018;2018;CWE-119,CWE-134;2018;2018
CWE-119;1997;2019;CWE-119,CWE-185;2015;2015
CWE-119,CWE-125;2018;2018;CWE-119,CWE-189;2002;2016
CWE-119,CWE-129;2018;2018;CWE-119,CWE-19;2017;2017
CWE-119,CWE-134;2018;2018;CWE-119,CWE-190;2018;2019
CWE-119,CWE-185;2015;2015;CWE-119,CWE-191;2017;2017
CWE-119,CWE-189;2002;2016;CWE-119,CWE-20;2018;2018
CWE-119,CWE-19;2017;2017;CWE-119,CWE-200;2015;2018
CWE-119,CWE-190;2018;2019;CWE-119,CWE-264;2007;2017
CWE-119,CWE-191;2017;2017;CWE-119,CWE-284;2016;2016
CWE-119,CWE-20;2018;2018;CWE-119,CWE-287;2016;2016
CWE-119,CWE-200;2015;2018;CWE-119,CWE-362;2015;2018
CWE-119,CWE-264;2007;2017;CWE-119,CWE-399;2003;2016
CWE-119,CWE-284;2016;2016;CWE-119,CWE-416;2014;2014
CWE-119,CWE-287;2016;2016;CWE-119,CWE-787;2018;2018
CWE-119,CWE-362;2015;2018;CWE-119,CWE-94;2007;2007
CWE-119,CWE-399;2003;2016;CWE-119,NVD-CWE-noinfo;2005;2018
CWE-119,CWE-416;2014;2014;CWE-119,NVD-CWE-Other;2016;2016
CWE-119,CWE-787;2018;2018;CWE-120;2018;2019
CWE-119,CWE-94;2007;2007;CWE-123;2017;2018
CWE-119,NVD-CWE-noinfo;2005;2018;CWE-123,CWE-22;2018;2018
CWE-120;2018;2019;CWE-125;2012;2019
CWE-121,CWE-119;2010;2019;CWE-125,CWE-119;2016;2017
CWE-122,CWE-119;2017;2018;CWE-125,CWE-129;2018;2018
CWE-123;2015;2018;CWE-125,CWE-189;2017;2017
CWE-123,CWE-20;2014;2014;CWE-125,CWE-190;2016;2018
CWE-123,CWE-22;2018;2018;CWE-125,CWE-20;2017;2019
CWE-125;2012;2019;CWE-125,CWE-200;2016;2018
CWE-125,CWE-119;2016;2017;CWE-125,CWE-264;2016;2016
CWE-125,CWE-125,CWE-200;2018;2018;CWE-125,CWE-362;2017;2017
CWE-125,CWE-189;2017;2017;CWE-125,CWE-369;2018;2018
CWE-125,CWE-190;2016;2018;CWE-125,CWE-399;2016;2017
CWE-125,CWE-20;2017;2019;CWE-125,CWE-416;2017;2017
CWE-125,CWE-200;2016;2018;CWE-125,CWE-476;2016;2018
CWE-125,CWE-264;2016;2016;CWE-125,CWE-787;2016;2018
CWE-125,CWE-362;2017;2017;CWE-125,CWE-787,CWE-190;2016;2016
CWE-125,CWE-369;2018;2018;CWE-129;2016;2019
CWE-125,CWE-399;2016;2017;CWE-129,CWE-119;2018;2018
