CWE-ID,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
CWE-79,1716,1460,464,726,1026,614,720,454,594,821,788,345,114,35,22,33,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CWE-119,1371,2502,1125,972,762,759,720,662,532,562,552,401,140,72,28,55,41,10,1,5,2,1,0,0,0,0,0,0,0,0,0
CWE-20,1167,942,498,371,548,498,365,382,298,311,348,199,52,29,15,25,27,4,3,8,0,1,0,0,0,0,0,0,0,0,0
CWE-200,1005,1374,602,587,345,249,218,295,156,157,172,82,28,19,5,24,13,1,4,7,1,0,0,0,0,0,0,0,0,0,0
NVD-CWE-noinfo,950,116,776,706,760,931,810,569,565,547,315,207,172,23,12,6,4,0,1,1,0,2,0,0,1,0,0,0,0,0,0
CWE-190,633,183,42,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-125,546,390,67,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-89,452,499,85,212,294,145,236,288,515,948,1088,252,96,50,9,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-352,390,306,80,239,243,119,152,55,75,113,74,35,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-284,372,1358,377,146,19,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-22,344,256,74,138,197,103,118,104,273,318,346,152,23,11,12,17,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-264,324,1185,595,562,722,573,603,282,345,430,393,190,47,39,19,18,31,3,2,6,1,2,1,0,0,0,0,0,0,0,0
CWE-416,302,252,104,9,8,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-476,284,328,70,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-78,246,74,28,31,46,31,14,14,13,17,2,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-787,231,136,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-287,207,181,40,33,142,106,98,55,73,208,138,65,13,5,6,6,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0
CWE-611,153,101,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-400,142,109,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-434,135,80,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
