CWE-ID,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
CWE-79,1671,1251,599,764,937,661,752,444,610,710,959,360,118,37,22,33,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CWE-119,1313,2262,1273,1029,736,781,723,678,542,543,577,415,144,66,36,55,42,10,1,5,2,1,0,0,0,0,0,0,0,0,0
CWE-20,1025,887,555,469,502,517,369,410,296,253,415,197,60,29,16,26,27,4,3,8,0,1,0,0,0,0,0,0,0,0,0
CWE-200,937,1189,730,656,345,256,227,304,168,146,183,82,28,19,5,24,14,1,4,7,1,0,0,0,0,0,0,0,0,0,0
NVD-CWE-noinfo,936,112,783,702,750,912,815,585,564,511,356,207,175,24,12,7,4,0,1,1,0,2,0,0,1,0,0,0,0,0,0
CWE-190,622,137,88,17,6,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-125,537,289,164,8,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-89,448,445,115,212,271,160,236,171,576,688,1420,264,100,52,9,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-352,379,242,124,239,238,141,151,60,78,98,91,38,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-284,352,1220,492,174,28,2,5,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-22,333,203,98,159,183,113,117,99,274,243,433,158,26,10,11,18,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0
CWE-416,290,223,252,283,51,22,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-476,268,272,156,83,50,35,16,57,36,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-264,252,1102,643,623,654,605,595,333,343,360,463,198,50,38,26,19,32,3,2,6,1,2,1,0,0,0,0,0,0,0,0
CWE-78,240,60,33,39,43,34,14,14,12,11,9,6,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-787,226,119,44,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-287,191,150,60,48,127,118,99,60,63,142,211,66,13,5,6,8,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0
CWE-611,149,84,39,42,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-400,137,80,35,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CWE-434,134,67,19,38,13,14,14,5,10,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
