CVE-2014-0001,2014-01-17,2014-01-31
CVE-2014-0002,2014-02-28,2014-03-21
CVE-2014-0003,2014-02-28,2014-03-21
CVE-2014-0004,2014-03-10,2014-03-11
CVE-2014-0005,,2015-02-20
CVE-2014-0006,2014-01-17,2014-01-23
CVE-2014-0007,,2014-06-20
CVE-2014-0008,2014-01-20,2014-01-20
CVE-2014-0009,2014-01-20,2014-01-20
CVE-2014-0010,2014-01-20,2014-01-20
CVE-2014-0012,2014-01-10,2014-05-19
CVE-2014-0013,,2018-02-15
CVE-2014-0014,,2018-02-15
CVE-2014-0015,2014-01-29,2014-02-02
CVE-2014-0016,2014-03-04,2014-03-24
CVE-2014-0017,2014-03-04,2014-03-14
CVE-2014-0018,2014-01-13,2014-02-14
CVE-2014-0019,2014-01-28,2014-02-04
CVE-2014-0020,2014-02-06,2014-02-06
CVE-2014-0022,2014-01-13,2014-01-26
CVE-2014-0027,2014-01-06,2014-01-26
CVE-2014-0028,2014-01-06,2014-01-24
CVE-2014-0029,2014-01-29,2017-10-16
CVE-2014-0030,,2017-10-10
CVE-2014-0031,,2014-01-15
CVE-2014-0032,2014-02-07,2014-02-14
CVE-2014-0033,2014-02-25,2014-02-26
CVE-2014-0034,2014-07-07,2014-07-07
CVE-2014-0035,,2014-07-07
CVE-2014-0036,2014-01-28,2014-04-17
CVE-2014-0037,2014-01-22,2014-04-28
CVE-2014-0038,2014-01-31,2014-02-06
CVE-2014-0039,2014-02-03,2014-02-08
CVE-2014-0040,2014-01-30,2014-06-02
CVE-2014-0041,2014-01-30,2014-06-02
CVE-2014-0042,2014-01-30,2014-06-02
CVE-2014-0043,,2017-10-03
CVE-2014-0044,2014-02-05,2014-02-08
CVE-2014-0045,2014-02-05,2014-02-08
CVE-2014-0046,2014-02-13,2014-02-27
CVE-2014-0047,2014-02-11,2017-10-06
CVE-2014-0049,2014-02-06,2014-03-11
CVE-2014-0050,2014-02-06,2014-04-01
CVE-2014-0053,2014-02-16,2014-04-15
CVE-2014-0054,2014-03-12,2014-04-17
CVE-2014-0055,2014-02-07,2014-03-26
CVE-2014-0056,2014-03-28,2014-05-08
CVE-2014-0057,2014-02-12,2014-03-18
CVE-2014-0058,2014-02-25,2014-02-26
CVE-2014-0059,,2014-11-17
CVE-2014-0060,2014-02-20,2014-03-31
CVE-2014-0061,2014-02-20,2014-03-31
CVE-2014-0062,2014-02-20,2014-03-31
CVE-2014-0063,2014-02-14,2014-03-31
CVE-2014-0064,2014-02-14,2014-03-31
CVE-2014-0065,2014-02-20,2014-03-31
CVE-2014-0066,2014-02-20,2014-03-31
CVE-2014-0067,2014-02-17,2014-03-31
CVE-2014-0069,2014-02-12,2014-02-28
CVE-2014-0071,2014-02-12,2014-04-17
CVE-2014-0072,2014-03-04,2017-10-30
CVE-2014-0073,2014-03-03,2017-10-30
CVE-2014-0074,2014-03-03,2014-10-06
CVE-2014-0075,2014-05-28,2014-05-31
CVE-2014-0076,2014-02-24,2014-03-25
CVE-2014-0077,2014-02-12,2014-04-14
CVE-2014-0078,2014-02-12,2014-05-14
CVE-2014-0079,2014-01-30,2014-04-28
CVE-2014-0080,2014-02-18,2014-02-20
CVE-2014-0081,2014-02-18,2014-02-20
CVE-2014-0082,2014-02-18,2014-02-20
CVE-2014-0085,2014-02-20,2014-04-17
CVE-2014-0086,2014-02-20,2014-03-31
CVE-2014-0087,2014-02-20,2018-01-11
CVE-2014-0088,2014-04-24,2014-04-29
CVE-2014-0089,2014-03-03,2014-03-27
CVE-2014-0090,2014-03-04,2014-05-08
CVE-2014-0092,2014-02-25,2014-03-07
CVE-2014-0093,2014-02-21,2014-04-03
CVE-2014-0094,2014-03-06,2014-03-11
CVE-2014-0095,2014-05-27,2014-05-31
CVE-2014-0096,2014-05-27,2014-05-31
CVE-2014-0097,,2017-05-25
CVE-2014-0098,2014-03-17,2014-03-18
CVE-2014-0099,2014-05-27,2014-05-31
CVE-2014-0100,2014-02-27,2014-03-11
CVE-2014-0101,2014-02-27,2014-03-11
CVE-2014-0102,2014-03-04,2014-03-11
CVE-2014-0103,2014-03-06,2014-07-29
CVE-2014-0105,2014-03-27,2014-04-15
CVE-2014-0106,2014-03-05,2014-03-11
CVE-2014-0107,2014-03-24,2014-04-15
CVE-2014-0109,2014-05-07,2014-05-08
CVE-2014-0110,2014-05-07,2014-05-08
CVE-2014-0111,,2014-04-17
CVE-2014-0112,2014-04-24,2014-04-29
CVE-2014-0113,2014-04-29,2014-04-29
CVE-2014-0114,2014-04-28,2014-04-30
CVE-2014-0115,,2017-10-30
CVE-2014-0116,2014-05-06,2014-05-08
CVE-2014-0117,2014-07-17,2014-07-20
CVE-2014-0118,2014-07-14,2014-07-20
CVE-2014-0119,2014-05-27,2014-05-31
CVE-2014-0120,2014-03-05,2017-12-29
CVE-2014-0121,2014-03-05,2017-12-29
CVE-2014-0122,2014-03-17,2014-03-24
CVE-2014-0123,2014-03-17,2014-03-24
CVE-2014-0124,2014-03-17,2014-03-24
CVE-2014-0125,2014-03-17,2014-03-24
CVE-2014-0126,2014-03-17,2014-03-24
CVE-2014-0127,2014-03-17,2014-03-24
CVE-2014-0128,2014-03-11,2014-04-14
CVE-2014-0129,2014-03-17,2014-03-24
CVE-2014-0130,2014-05-06,2014-05-07
CVE-2014-0131,2014-03-10,2014-03-24
CVE-2014-0132,,2014-03-18
CVE-2014-0133,2014-03-18,2014-03-28
CVE-2014-0134,2014-03-27,2014-05-08
CVE-2014-0135,,2014-05-08
CVE-2014-0136,2014-08-13,2014-10-27
CVE-2014-0137,,2014-05-14
CVE-2014-0138,2014-04-13,2014-04-15
CVE-2014-0139,2014-04-13,2014-04-15
CVE-2014-0140,2014-03-17,2014-10-06
CVE-2014-0141,2015-01-30,2017-08-28
CVE-2014-0142,2014-03-19,2017-08-10
CVE-2014-0143,2014-03-21,2017-08-10
CVE-2014-0145,2014-03-20,2017-08-10
CVE-2014-0146,2014-03-19,2017-08-10
CVE-2014-0149,2014-03-20,2014-05-05
CVE-2014-0150,2014-03-20,2014-04-18
CVE-2014-0151,2014-03-18,2015-02-13
CVE-2014-0152,,2014-09-08
CVE-2014-0153,,2014-09-08
CVE-2014-0154,2014-03-18,2015-02-13
CVE-2014-0155,2014-03-27,2014-04-14
CVE-2014-0157,2014-04-08,2014-04-15
CVE-2014-0158,2014-04-01,2018-04-10
CVE-2014-0159,2014-04-09,2014-04-14
CVE-2014-0160,2014-04-07,2014-04-07
CVE-2014-0162,2014-04-10,2014-04-27
CVE-2014-0164,,2014-05-05
CVE-2014-0165,2014-04-09,2014-04-10
CVE-2014-0166,2014-04-09,2014-04-10
CVE-2014-0167,2014-04-09,2014-04-15
CVE-2014-0168,,2014-10-06
CVE-2014-0170,2014-09-24,2014-09-30
CVE-2014-0171,,2015-01-15
CVE-2014-0172,2014-04-09,2014-04-11
CVE-2014-0173,2014-04-10,2014-04-22
CVE-2014-0174,,2014-07-11
CVE-2014-0176,,2014-07-07
CVE-2014-0177,,2014-05-27
CVE-2014-0178,2014-05-28,2014-05-28
CVE-2014-0179,2014-05-15,2014-08-03
CVE-2014-0180,,2014-07-07
CVE-2014-0181,2014-04-23,2014-04-27
CVE-2014-0182,2014-05-13,2014-11-04
CVE-2014-0184,,2014-07-07
CVE-2014-0185,2014-04-29,2014-05-06
CVE-2014-0186,2014-04-22,2014-06-14
CVE-2014-0187,2014-04-22,2014-04-28
CVE-2014-0188,2014-04-22,2014-04-24
CVE-2014-0189,2014-03-27,2014-05-02
CVE-2014-0190,2014-04-24,2014-05-08
CVE-2014-0191,2014-04-24,2015-01-21
CVE-2014-0192,2014-04-29,2014-05-08
CVE-2014-0193,2014-05-02,2014-05-06
CVE-2014-0195,2014-06-02,2014-06-05
CVE-2014-0196,2014-04-29,2014-05-07
CVE-2014-0198,2014-05-02,2014-05-06
CVE-2014-0199,2014-05-27,2014-05-29
CVE-2014-0200,2014-05-27,2014-05-29
CVE-2014-0201,,2014-05-29
CVE-2014-0202,,2014-05-30
CVE-2014-0203,2014-05-05,2014-06-23
CVE-2014-0204,2014-05-21,2014-11-03
CVE-2014-0205,2014-05-05,2014-09-28
CVE-2014-0206,2014-05-06,2014-06-25
CVE-2014-0207,2014-04-28,2014-07-09
CVE-2014-0208,2014-05-06,2017-10-16
CVE-2014-0209,2014-05-12,2014-05-15
CVE-2014-0210,2014-05-12,2014-05-15
CVE-2014-0211,2014-05-12,2014-05-15
CVE-2014-0213,2014-05-19,2014-05-27
CVE-2014-0214,2014-05-19,2014-05-27
CVE-2014-0215,2014-05-19,2014-05-27
CVE-2014-0216,2014-05-19,2014-05-27
CVE-2014-0217,2014-05-19,2014-05-27
CVE-2014-0218,2014-05-19,2014-05-27
CVE-2014-0219,2014-05-09,2017-11-15
CVE-2014-0220,2014-06-05,2014-06-10
CVE-2014-0221,2014-06-02,2014-06-05
CVE-2014-0222,2014-05-12,2014-11-04
CVE-2014-0223,2014-05-12,2014-11-04
CVE-2014-0224,2014-06-02,2014-06-05
CVE-2014-0225,,2017-05-25
CVE-2014-0226,2014-07-16,2014-07-20
CVE-2014-0227,2014-06-13,2015-02-16
CVE-2014-0228,2014-06-13,2014-11-16
CVE-2014-0229,,2017-03-23
CVE-2014-0230,2015-04-09,2015-06-07
CVE-2014-0231,2014-07-17,2014-07-20
CVE-2014-0232,2014-08-19,2014-08-22
CVE-2014-0233,2014-05-12,2014-11-16
CVE-2014-0236,,2016-05-16
CVE-2014-0237,2014-05-22,2014-06-01
CVE-2014-0238,2014-05-22,2014-06-01
CVE-2014-0239,2014-05-28,2014-05-28
CVE-2014-0240,2014-05-21,2014-05-27
CVE-2014-0244,2014-05-14,2014-06-23
CVE-2014-0246,2014-05-27,2014-05-29
CVE-2014-0247,2014-06-23,2014-07-03
CVE-2014-0248,2014-06-24,2014-07-07
CVE-2014-0249,2014-05-27,2014-06-11
CVE-2014-0250,2013-08-20,2014-11-16
CVE-2014-0251,2014-05-13,2014-05-14
CVE-2014-0253,2014-02-11,2014-02-12
CVE-2014-0254,2014-02-11,2014-02-12
CVE-2014-0255,,2014-05-14
CVE-2014-0256,,2014-05-14
