2018;2676;2721;10637;10774
1998;114;117;175;177
2016;738;758;2672;2695
2009;1845;1893;3193;3236
2017;1777;1834;5285;5344
2014;2529;2552;4799;4822
2012;1352;1385;3497;3522
2006;2633;2696;3896;3934
2015;1286;1315;3106;3119
2011;871;887;1956;1962
2010;1396;1417;2410;2421
2000;410;415;660;661
2008;2550;2682;4505;4601
2013;973;986;3101;3114
2007;2659;2733;4139;4189
2004;937;946;1686;1689
2001;585;594;928;931
2002;859;868;1354;1360
2003;607;620;899;907
1996;45;47;69;70
2005;1710;1738;2852;2869
1997;81;85;134;138
1999;263;266;419;421
1993;9;9;14;14
1990;7;7;9;9
1992;5;5;5;5
1995;25;26;30;31
1991;8;8;9;9
1988;4;4;4;4
1994;10;10;15;15
1989;1;1;1;1
