labels,low,medium,high,total
-31,0,0,1,1
-13,0,2,0,2
-10,0,1,0,1
-9,0,5,0,5
-7,0,10,0,10
-6,0,1,0,1
-2,0,1,0,1
-1,0,10,0,10
0,3278,23718,13782,40778
1,864,5721,5412,11997
2,702,4285,3517,8504
3,265,2068,1808,4141
4,230,1726,1442,3398
5,212,1623,1392,3227
6,287,1753,1247,3287
7,188,1296,963,2447
8,105,771,514,1390
9,82,575,481,1138
10,85,719,347,1151
11,69,495,364,928
12,60,432,223,715
13,76,370,173,619
14,65,406,251,722
15,39,281,232,552
16,60,320,360,740
17,28,199,132,359
18,24,201,159,384
19,28,201,102,331
20,30,189,139,358
21,58,398,147,603
22,19,163,125,307
23,14,161,80,255
24,16,92,56,164
25,19,123,164,306
26,28,101,78,207
27,20,145,72,237
28,37,150,97,284
29,21,145,72,238
30,16,99,108,223
31,9,81,60,150
32,19,94,69,182
33,12,97,65,174
34,21,127,67,215
35,20,97,72,189
36,16,113,75,204
37,15,80,43,138
38,23,86,81,190
39,11,103,51,165
40,22,74,37,133
41,11,70,41,122
42,22,66,45,133
43,3,88,68,159
44,10,61,111,182
45,22,77,48,147
46,12,78,32,122
47,9,53,33,95
48,19,68,39,126
49,14,95,59,168
50,16,60,56,132
51,21,67,48,136
52,6,56,39,101
53,14,73,48,135
54,19,80,48,147
55,8,58,39,105
56,18,105,61,184
57,13,59,43,115
58,9,66,32,107
59,11,63,19,93
60,8,66,43,117
61,21,50,34,105
62,15,61,34,110
63,10,51,32,93
64,15,58,36,109
65,15,36,26,77
66,18,60,27,105
67,14,77,46,137
68,12,61,30,103
69,29,110,38,177
70,13,68,44,125
71,11,42,34,87
72,12,47,30,89
73,6,63,24,93
74,5,72,30,107
75,9,39,19,67
76,15,61,30,106
77,13,66,48,127
78,7,65,33,105
79,11,41,41,93
80,7,45,33,85
81,3,40,47,90
82,11,54,31,96
83,6,32,32,70
84,15,44,29,88
85,11,46,22,79
86,3,27,24,54
87,4,49,51,104
88,8,93,25,126
89,11,99,33,143
90,10,75,30,115
91,11,50,32,93
92,11,38,32,81
93,7,31,15,53
94,4,55,34,93
95,13,60,17,90
96,9,44,20,73
97,8,41,10,59
98,8,40,34,82
99,7,56,43,106
100,6,32,15,53
101,7,31,26,64
102,5,30,26,61
103,8,21,16,45
104,7,25,21,53
105,10,29,17,56
106,7,33,14,54
107,7,41,33,81
108,4,32,22,58
109,1,30,17,48
110,3,42,19,64
111,9,33,34,76
112,3,44,18,65
113,3,23,27,53
114,6,33,26,65
115,9,33,35,77
116,4,25,16,45
117,2,21,24,47
118,6,50,24,80
119,7,60,46,113
120,9,31,17,57
121,6,11,17,34
122,7,15,20,42
123,3,23,16,42
124,1,13,8,22
125,4,23,27,54
126,3,35,22,60
127,6,39,13,58
128,6,27,19,52
129,5,22,13,40
130,2,32,20,54
131,1,20,15,36
132,11,26,16,53
133,4,34,13,51
134,3,26,13,42
135,2,22,21,45
136,1,20,15,36
137,4,15,16,35
138,5,22,11,38
139,7,38,32,77
140,4,34,9,47
141,3,7,15,25
142,8,30,17,55
143,0,18,7,25
144,8,44,17,69
145,4,16,8,28
146,5,24,23,52
147,3,34,17,54
148,3,14,6,23
149,4,18,11,33
150,2,18,8,28
151,1,19,13,33
152,3,22,7,32
153,3,16,14,33
154,3,29,10,42
155,1,22,20,43
156,6,22,12,40
157,4,19,11,34
158,3,26,19,48
159,4,25,13,42
160,5,23,9,37
161,5,19,13,37
162,4,12,11,27
163,4,11,9,24
164,0,10,16,26
165,1,14,3,18
166,6,23,10,39
167,1,7,8,16
168,1,18,8,27
169,5,24,15,44
170,1,13,13,27
171,0,29,11,40
172,0,11,8,19
173,6,14,8,28
174,3,7,15,25
175,7,20,34,61
176,2,13,6,21
177,3,17,6,26
178,2,17,4,23
179,2,27,4,33
180,4,8,6,18
181,2,5,6,13
182,5,20,15,40
183,1,26,12,39
184,0,10,7,17
185,2,18,9,29
186,1,21,5,27
187,2,12,9,23
188,1,15,61,77
189,4,13,8,25
190,1,12,12,25
191,3,19,6,28
192,4,11,9,24
193,5,10,4,19
194,1,8,3,12
195,10,13,4,27
196,6,9,9,24
197,4,17,3,24
198,2,8,17,27
199,2,21,7,30
200,0,21,7,28
201,1,14,6,21
202,3,10,7,20
203,7,19,7,33
204,2,13,4,19
205,2,13,12,27
206,1,10,4,15
207,3,14,7,24
208,2,11,8,21
209,1,15,6,22
210,1,13,2,16
211,3,18,9,30
212,0,11,7,18
213,6,11,2,19
214,2,9,7,18
215,0,3,5,8
216,4,16,4,24
217,3,10,8,21
218,2,8,9,19
