CVE-2003-0658;2003-10-20;;
CVE-2003-0742;2003-10-06;;
CVE-2003-0769;2003-09-22;;
CVE-2003-0836;2003-11-17;;
CVE-1999-0012;1998-02-06;;
CVE-1999-0013;1998-01-22;;
CVE-1999-0017;1997-12-10;;
CVE-1999-0023;1996-07-24;;
CVE-1999-0024;1997-08-13;;
CVE-1999-0026;1997-07-16;;
CVE-1999-0027;1997-07-16;;
CVE-1999-0028;1997-07-16;;
CVE-1999-0029;1997-07-16;;
CVE-1999-0030;1997-07-16;;
CVE-1999-0033;1997-06-12;;
CVE-1999-0034;1997-05-29;;
CVE-1999-0035;1997-05-29;;
CVE-1999-0037;1997-05-21;;
CVE-1999-0038;1997-04-26;;
CVE-1999-0040;1997-05-01;;
CVE-1999-0041;1997-02-13;;
CVE-1999-0042;1997-04-07;;
CVE-1999-0043;1996-12-04;;
CVE-1999-0045;1996-12-10;;
CVE-1999-0046;1997-02-06;;
CVE-1999-0049;1997-01-08;;
CVE-1999-0050;1996-12-01;;
CVE-1999-0051;1997-01-06;;
CVE-1999-0060;1998-03-16;;
CVE-1999-0061;1997-10-02;;
CVE-1999-0063;1999-01-11;;
CVE-1999-0064;1997-05-26;;
CVE-1999-0070;1996-04-01;;
CVE-1999-0071;1997-09-01;;
CVE-1999-0072;1997-10-22;;
CVE-1999-0073;1995-10-13;;
CVE-1999-0074;1997-07-01;;
CVE-1999-0076;1997-07-01;;
CVE-1999-0078;1996-04-18;;
CVE-1999-0079;1997-09-12;;
CVE-1999-0080;1995-11-30;;
CVE-1999-0081;1997-01-11;;
CVE-1999-0083;1997-06-11;;
CVE-1999-0086;1998-01-08;;
CVE-1999-0089;1997-10-28;;
CVE-1999-0090;1997-10-01;;
CVE-1999-0091;1997-10-28;;
CVE-1999-0092;1997-10-29;;
CVE-1999-0093;1997-10-29;;
CVE-1999-0094;1997-10-29;;
CVE-1999-0097;1997-10-29;;
CVE-1999-0098;1998-04-01;;
CVE-1999-0099;1995-10-19;;
CVE-1999-0100;1997-01-01;;
CVE-1999-0102;1998-07-09;;
CVE-1999-0103;1996-02-08;2018-08-22;8/22/2018
CVE-1999-0105;1997-03-01;;
CVE-1999-0106;1997-03-01;;
CVE-1999-0107;1997-12-30;;
CVE-1999-0111;1997-07-01;;
CVE-1999-0114;1998-01-01;;
CVE-1999-0117;1992-03-31;;
CVE-1999-0119;1999-01-19;;
CVE-1999-0121;1999-01-21;;
CVE-1999-0122;1997-07-21;;
CVE-1999-0123;1995-12-01;;
CVE-1999-0124;1993-08-09;;
CVE-1999-0127;1996-12-19;;
CVE-1999-0128;1996-12-18;;
CVE-1999-0129;1996-12-03;;
CVE-1999-0133;1996-08-14;;
CVE-1999-0135;1996-07-25;;
CVE-1999-0136;1996-07-31;;
CVE-1999-0137;1996-07-09;;
CVE-1999-0138;1996-06-26;;
CVE-1999-0140;1999-06-30;;
CVE-1999-0142;1996-03-01;;
CVE-1999-0143;1996-02-21;;
CVE-1999-0147;1997-07-01;;
CVE-1999-0150;1997-07-01;;
CVE-1999-0151;1995-04-03;;
CVE-1999-0152;1997-08-11;;
CVE-1999-0154;1999-12-31;;
CVE-1999-0155;1995-08-31;;
CVE-1999-0156;1997-07-01;;
CVE-1999-0159;1998-08-12;;
CVE-1999-0162;1998-09-01;;
CVE-1999-0163;1997-01-01;;
CVE-1999-0165;1997-03-01;;
CVE-1999-0166;1997-01-01;;
CVE-1999-0167;1991-12-06;;
CVE-1999-0168;1992-06-04;;
CVE-1999-0169;1997-07-01;;
CVE-1999-0170;1997-01-01;;
CVE-1999-0171;1997-01-01;;
CVE-1999-0172;1995-08-02;;
CVE-1999-0173;1997-01-01;;
CVE-1999-0174;1997-02-01;;
CVE-1999-0175;1996-07-01;;
CVE-1999-0176;1997-07-10;;
CVE-1999-0177;1997-09-01;;
CVE-1999-0180;1997-01-01;;
CVE-1999-0181;1994-01-01;;
CVE-1999-0183;1997-09-01;;
CVE-1999-0184;1997-07-01;;
CVE-1999-0192;1997-10-18;;
CVE-1999-0193;1997-12-01;;
CVE-1999-0194;1999-05-01;;
CVE-1999-0195;1997-07-01;;
CVE-1999-0197;1999-01-01;;
CVE-1999-0198;1999-01-01;;
CVE-1999-0200;1999-01-01;;
CVE-1999-0201;1997-01-01;;
CVE-1999-0202;1997-01-01;;
CVE-1999-0203;1995-08-17;;
CVE-1999-0204;1997-01-01;;
CVE-1999-0205;1999-01-01;;
CVE-1999-0206;1996-10-01;;
CVE-1999-0207;1994-06-09;;
CVE-1999-0208;1995-12-12;;
CVE-1999-0213;1998-07-15;;
CVE-1999-0214;1992-07-21;;
CVE-1999-0216;1997-11-01;;
CVE-1999-0217;1997-01-01;;
CVE-1999-0218;1995-10-01;;
CVE-1999-0220;1999-01-01;;
CVE-1999-0221;1999-03-01;;
CVE-1999-0222;1999-03-01;;
CVE-1999-0224;1999-07-23;;
CVE-1999-0226;1999-01-01;;
CVE-1999-0229;1999-05-12;;
CVE-1999-0231;1999-01-01;;
CVE-1999-0232;1995-02-01;;
CVE-1999-0234;1996-10-08;;
CVE-1999-0235;1995-02-17;;
