CVE-2018-10258;2018-05-01
CVE-2018-1434;2018-05-17
CVE-2005-4022;2005-12-05
CVE-2017-4931;2017-11-16
CVE-2018-4923;2018-05-19
CVE-2005-3327;2005-10-27
CVE-2018-3848;2018-04-16
CVE-2018-8049;2018-04-03
CVE-2018-9230;2018-04-02
CVE-2017-14585;2017-11-27
CVE-2018-5429;2018-04-17
CVE-2018-8015;2018-05-18
CVE-1999-0495;1999-01-01
CVE-2004-1683;2004-09-13
CVE-2004-1818;2004-03-15
CVE-2018-6246;2018-05-10
CVE-2018-10553;2018-04-30
CVE-2018-7499;2018-05-15
CVE-2017-17688;2018-05-16
CVE-2017-16555;2018-01-16
CVE-2018-10479;2018-05-17
CVE-2018-10705;2018-05-09
CVE-2005-4296;2005-12-16
CVE-2017-2836;2018-04-24
CVE-2017-18265;2018-05-09
CVE-2018-5515;2018-05-02
CVE-2018-10170;2018-04-16
CVE-2017-18235;2018-03-15
CVE-1999-0565;1999-01-01
CVE-2005-3201;2005-10-14
CVE-2018-1039;2018-05-09
CVE-2017-12104;2018-04-24
CVE-2018-1147;2018-05-18
CVE-2017-17668;2018-03-20
CVE-2018-11098;2018-05-15
CVE-2018-10576;2018-04-30
CVE-2017-12466;2018-02-07
CVE-2004-2155;2004-12-31
CVE-2017-9839;2018-04-11
CVE-2018-10994;2018-05-14
CVE-2017-1515;2018-01-26
CVE-2018-0958;2018-05-09
CVE-2018-1468;2018-05-02
CVE-2018-10054;2018-04-11
CVE-2018-10940;2018-05-09
CVE-2004-2228;2004-12-31
CVE-2005-2329;2005-07-20
CVE-2004-0071;2004-02-17
CVE-2005-0796;2005-05-02
CVE-2005-4327;2005-12-17
CVE-2017-2736;2017-11-22
CVE-2017-5699;2018-01-18
CVE-2018-0267;2018-04-19
CVE-2018-10266;2018-04-22
CVE-2018-8899;2018-03-22
CVE-2005-4709;2005-12-31
CVE-2014-2069;2018-04-16
CVE-2018-5306;2018-02-09
CVE-2005-0184;2005-05-02
CVE-2017-15528;2017-11-22
